Year,Brand,Model,Title,Mile,Price,Transmition,EXT_COLOR,INT_COLOR,Derivtrain,zipcode,log_price
2003,Acura,RL 3.5,USED,85492,6597.0,Automatic,Other,Other,FWD,66203,8.794370279222871
1991,Acura,NSX,USED,59562,50000.0,Manual,Red,Black,RWD,89107,10.819778284410283
2007,Acura,RL,USED,74157,6995.0,Automatic,Blue,Beige,AWD,66203,8.852950887099581
1994,Acura,Integra LS,USED,154342,2990.0,Manual,Black,Beige,FWD,92521,8.003028666384733
2001,Acura,CL 3.2 Type S,USED,62382,6995.0,Automatic,Black,Other,FWD,75207,8.852950887099581
1991,Acura,NSX,USED,59562,50000.0,Manual,Red,Black,RWD,99115,10.819778284410283
2006,Acura,TSX,USED,118155,5995.0,Automatic,Silver,Black,FWD,92521,8.698681067461614
2006,Acura,RSX,USED,86019,7240.0,Automatic,Black,Black,FWD,99115,8.887376485379763
1991,Acura,Legend L,USED,108584,3450.0,Automatic,White,Beige,FWD,66203,8.146129510025405
2015,Acura,TLX Tech,USED,16475,12496.0,Automatic,Other,Other,FWD,75207,9.433163872079467
2003,Acura,RL 3.5,USED,85492,6597.0,Automatic,Other,Other,FWD,75207,8.794370279222871
2017,Acura,MDX Sport Hybrid 3.0L w/Advance Package,USED,40328,36788.0,Automatic,Gray,Gray,AWD,66203,10.512926984022588
2018,Acura,MDX Sport Hybrid 3.0L w/Technology Package,ACURA CERTIFIED,13551,37795.0,Automatic,Black,Black,AWD,92521,10.539932097726277
1991,Acura,NSX,USED,59562,50000.0,Manual,Red,Black,RWD,66203,10.819778284410283
2014,Acura,RLX Technology Package,USED,89000,11000.0,Automatic,Blue,Gray,FWD,66203,9.305650551780507
1991,Acura,NSX,USED,85064,49491.0,Manual,Black,Black,RWD,99115,10.809546113844034
2015,Acura,TLX V6 Advance,USED,29317,14969.0,Automatic,White,Gray,FWD,99115,9.613736674915236
2006,Acura,RSX Type S,USED,124762,9995.0,Manual,Silver,Black,FWD,66203,9.209840246934501
2014,Acura,RLX Technology Package,USED,89000,11000.0,Automatic,Blue,Gray,FWD,11101,9.305650551780507
2005,Acura,RL 3.5,USED,122222,3999.0,Automatic,Silver,Black,AWD,89107,8.293799608846818
2007,Acura,RL,USED,74157,6995.0,Automatic,Blue,Beige,AWD,75207,8.852950887099581
2005,Acura,RL 3.5,USED,122222,3999.0,Automatic,Silver,Black,AWD,92521,8.293799608846818
2014,Acura,RLX Technology Package,USED,89000,11000.0,Automatic,Blue,Gray,FWD,75207,9.305650551780507
2015,Acura,TLX V6 Advance,USED,29317,14969.0,Automatic,White,Gray,FWD,92521,9.613736674915236
2005,Acura,RL 3.5,USED,122222,3999.0,Automatic,Silver,Black,AWD,99115,8.293799608846818
2011,Acura,RL Technology,USED,163000,6800.0,Automatic,Black,Gray,AWD,99115,8.824677891164198
2014,Acura,ILX 2.0L,USED,61968,9000.0,Automatic,White,Black,FWD,11101,9.104979856318357
2017,Acura,MDX Sport Hybrid 3.0L w/Advance Package,ACURA CERTIFIED,62984,31977.0,Automatic,Gray,Gray,AWD,99115,10.372772173357246
2017,Acura,RLX Technology Package,USED,14590,20969.0,Automatic,Other,Black,FWD,66203,9.950800435586746
2014,Acura,ILX 2.0L,USED,61968,9000.0,Automatic,White,Black,FWD,92521,9.104979856318357
2011,Acura,RL Technology,USED,163000,6800.0,Automatic,Black,Gray,AWD,66203,8.824677891164198
2015,Acura,TLX Tech,USED,16475,12496.0,Automatic,Other,Other,FWD,66203,9.433163872079467
2017,Acura,ILX Premium & A-SPEC Packages,USED,33453,15999.0,Automatic,Gray,Black,FWD,99115,9.680281499268713
2018,Alfa,Romeo Giulia Ti,USED,31588,25998.0,Automatic,Black,Black,RWD,89107,10.165774890967965
2017,Alfa,Romeo Giulia Quadrifoglio,USED,9842,44000.0,Automatic,Blue,Black,RWD,75207,10.691944912900398
2018,Alfa,Romeo Stelvio Ti,USED,10297,29075.0,Automatic,Gray,Black,AWD,11101,10.277633977386865
2016,Alfa,Romeo 4C Base,USED,39041,41700.0,Automatic,Gray,Black,RWD,99115,10.638256407786892
