Year,Brand,Model,Title,Mile,Price,Transmition,EXT_COLOR,INT_COLOR,Derivtrain,zipcode
2016,Lexus,GS 200t,USED,38627,20477,Automatic,White,Beige,RWD,92521
2011,Toyota,Venza Base,USED,94454,7991,Automatic,Red,Gray,FWD,92521
1998,Honda,Prelude,USED,120735,6500,Manual,Black,Black,FWD,92521
2007,Mercedes-Benz,R 350 4MATIC,USED,84690,6995,Automatic,Beige,Beige,AWD,92521
2004,Lincoln,LS,USED,145336,2995,Automatic,Silver,Black,RWD,92521
2020,Hyundai,Palisade SEL,USED,1465,36800,Automatic,Silver,Black,AWD,92521
2019,Kia,K900 Luxury,USED,9831,39995,Automatic,White,Black,AWD,92521
1990,Jeep,Grand Wagoneer 4WD,USED,84484,9990,Automatic,Blue,Beige,4x4/4-wheel drive,92521
2008,Lexus,LS 600h L,USED,0,12995,CVT,Black,Black,AWD,92521
2007,Mazda,CX-7 Sport,USED,75218,5995,Automatic,White,Beige,FWD,92521
2017,Volvo,S90 T5 Momentum,VOLVO CERTIFIED,0,26000,Automatic,Blue,Orange,FWD,92521
2020,BMW,740i,NEW,0,93945,Automatic,Gray,Black,RWD,92521
2008,Chevrolet,Tahoe Hybrid,USED,95000,14499,CVT,Black,Beige,RWD,92521
2019,BMW,330i,NEW,0,46545,Automatic,Blue,Black,RWD,92521
2017,smart,ForTwo Electric Drive passion,USED,14565,7997,Automatic,White,Black,RWD,92521
2018,Nissan,NV200 S,USED,26446,12997,CVT,White,Gray,FWD,92521
2018,Ford,Focus ST Base,USED,26679,16999,Manual,Black,Black,FWD,92521
2008,Maserati,Quattroporte Sport GT S,USED,62598,12988,Automatic,Black,Black,RWD,92521
2018,Hyundai,Santa Fe Sport 2.0L Turbo Ultimate,USED,3998,18799,Automatic,Black,Black,FWD,92521
2019,Cadillac,XT4 Premium Luxury,USED,4373,27299,Automatic,White,Other,FWD,92521
2018,Alfa,Romeo Stelvio Ti,USED,10297,29075,Automatic,Gray,Black,AWD,92521
2013,Toyota,Venza XLE,USED,66767,12990,Automatic,White,Beige,AWD,92521
2015,Hyundai,Sonata Sport,USED,30424,9990,Automatic,Black,Gray,FWD,92521
2017,Chrysler,Pacifica Hybrid Platinum,USED,0,27975,Automatic,Blue,Other,FWD,92521
1993,Mitsubishi,3000GT VR-4,USED,31648,15850,Manual,Red,Other,AWD,92521
2019,Nissan,Murano SL,USED,1567,24489,CVT,Gray,Gray,AWD,92521
2017,BMW,340 i xDrive,USED,34561,25495,Automatic,White,Red,AWD,92521
2016,Nissan,Maxima 3.5 S,USED,13902,14489,CVT,Red,Beige,FWD,92521
2017,Lincoln,Continental Select,USED,5521,22895,Automatic,Silver,Beige,FWD,92521
2017,GMC,Yukon XL Denali,USED,4213,43489,Automatic,White,Brown,4x4/4-wheel drive,92521
2020,Kia,Telluride LX,USED,7999,35584,Automatic,Gray,Black,AWD,92521
2007,Toyota,Sequoia SR5,USED,66031,13995,Automatic,Green,Beige,4x4/4-wheel drive,92521
2017,Nissan,Sentra SR Turbo,USED,19322,12489,CVT,Gray,Gray,FWD,92521
2007,Suzuki,SX4 JX,USED,135491,4995,Automatic,Black,Gray,AWD,92521
2017,Mazda,CX-9 Grand Touring,USED,10266,20469,Automatic,Blue,Beige,FWD,92521
2019,Chevrolet,1LT,NEW,0,33249,Automatic,Silver,Black,FWD,92521
2004,Subaru,Baja Turbo,USED,82782,8995,Automatic,Silver,Gray,AWD,92521
2008,Jaguar,XJ8 L,USED,46200,10750,Automatic,Other,Gray,RWD,92521
2010,Mercury,Grand Marquis LS,USED,50042,9277,Automatic,Silver,Other,RWD,92521
2008,Chrysler,Sebring Touring,USED,79141,4999,Automatic,White,Other,FWD,92521
2017,Dodge,Grand Caravan SXT,USED,0,10995,Automatic,Black,Black,FWD,92521
2019,Honda,Passport Touring,USED,2061,29979,Automatic,White,Black,AWD,92521
2006,Dodge,Magnum,USED,129761,3995,Automatic,Black,Gray,RWD,92521
2006,Toyota,Camry Solara SE V6,USED,146895,3600,Automatic,White,Other,FWD,92521
2004,Mazda,RX-8,USED,67300,4495,Automatic,Black,Black,RWD,92521
2012,Nissan,GT-R Premium,USED,75100,30000,Automatic,Silver,Beige,AWD,92521
2006,Mercedes-Benz,SL500 Roadster,USED,93300,9700,Automatic,Red,Gray,RWD,92521
2006,Bentley,Continental Flying Spur,USED,41741,34995,Automatic,Other,Other,AWD,92521
2010,Hummer,H3 Luxury Edition,USED,101469,8950,Automatic,Silver,Black,4x4/4-wheel drive,92521
2004,MINI,Cooper S,USED,118842,4995,Manual,Blue,Other,FWD,92521
2014,Ford,Transit Connect XLT,USED,10513,9950,Automatic,Black,Other,FWD,92521
2019,Chevrolet,WORK,NEW,0,66956,Automatic,Red,Gray,4x4/4-wheel drive,92521
2007,Dodge,Magnum SRT8,USED,0,12500,Automatic,Other,Gray,RWD,92521
2019,Honda,Passport Sport,HONDA CERTIFIED,3207,29500,Automatic,Black,Black,AWD,92521
2011,Nissan,Murano CrossCabriolet Base,USED,54377,11995,CVT,Black,Beige,AWD,92521
2019,Hyundai,Santa Fe XL SE,USED,14174,26959,Automatic,Black,Black,FWD,92521
2016,Chrysler,Town & Country Touring,USED,36033,13999,Automatic,White,Other,FWD,92521
2015,Volkswagen,Jetta Hybrid DSG SEL Premium,VOLKSWAGEN CERTIFIED,73685,10200,Automatic,Other,Other,FWD,92521
2020,Hyundai,Tucson Ultimate,NEW,0,29990,Automatic,White,Beige,AWD,92521
2008,Chrysler,Aspen Limited,USED,103720,7500,Automatic,White,Other,4x4/4-wheel drive,92521
2010,MINI,Cooper,USED,49571,6995,Automatic,Red,Black,FWD,92521
2020,Hyundai,Palisade SEL,USED,1700,36400,Automatic,Red,Black,AWD,92521
2013,Kia,Rio LX,USED,45496,7295,Automatic,Silver,Other,FWD,92521
2009,Mercury,Grand Marquis LS,USED,64129,5995,Automatic,White,Beige,RWD,92521
2006,Mazda,MazdaSpeed6 Grand Touring,USED,103995,6991,Manual,Black,Black,AWD,92521
2011,Acura,RL Technology,USED,163000,6800,Automatic,Black,Gray,AWD,92521
2020,Nissan,Rogue SL,NEW,0,29880,CVT,Red,Beige,FWD,92521
2015,Honda,Odyssey Touring Elite,USED,42987,25981,Automatic,White,Other,FWD,92521
2018,Lexus,LC 500 Base,USED,26629,58900,Automatic,Blue,Beige,RWD,92521
2003,Chevrolet,"Astro Ext 111"" WB RWD",USED,82019,4995,Automatic,White,Gold,RWD,92521
2017,INFINITI,Q70L 3.7,USED,0,24999,Automatic,White,Black,RWD,92521
2018,Kia,Stinger GT2,USED,21464,25900,Automatic,White,Black,RWD,92521
2013,Hyundai,Equus Ultimate,USED,86430,13999,Automatic,Black,Black,RWD,92521
2019,Volkswagen,Atlas 3.6L SEL Premium,USED,12965,44600,Automatic,White,Beige,AWD,92521
2004,Audi,A6 4.2 quattro,USED,148269,3500,Automatic,Gray,Gray,AWD,92521
2011,Chevrolet,HHR LT,USED,58505,5899,Automatic,Silver,Black,FWD,92521
2008,Volvo,XC70 3.2,USED,114751,5999,Automatic,Green,Beige,AWD,92521
2008,Pontiac,G8 GT,USED,0,13995,Automatic,White,Black,RWD,92521
2012,Ford,Fusion SEL,USED,76000,5700,Automatic,Blue,Black,FWD,92521
2015,Jaguar,XJ Base,USED,37722,17995,Automatic,Black,Black,RWD,92521
2006,Bentley,Continental Flying Spur,USED,55230,26995,Automatic,Blue,Beige,AWD,92521
2019,Dodge,Grand Caravan GT,USED,31586,15995,Automatic,Gray,Other,FWD,92521
2019,Ford,Transit Connect XLT w/Rear Liftgate,USED,0,22950,Automatic,Silver,Black,FWD,92521
2004,Chevrolet,Malibu Maxx LS,USED,47930,2995,Automatic,White,Gray,FWD,92521
2019,Lamborghini,Urus Base,USED,8001,216985,Automatic,Gray,Other,AWD,92521
2017,Ford,Focus RS Base,USED,63475,23491,Manual,Gray,Black,AWD,92521
2017,Nissan,NV Passenger NV3500 HD SL V8,USED,54500,22995,Automatic,Black,Gray,RWD,92521
2017,Ford,Shelby GT350 Base,USED,13831,38799,Manual,Gray,Black,RWD,92521
2010,Mazda,CX-7 s Grand Touring,USED,109832,4999,Automatic,Black,Black,FWD,92521
2006,Pontiac,Grand Prix Base,USED,0,999,Automatic,Red,Black,FWD,92521
2006,Dodge,Magnum Base,USED,0,999,Automatic,Silver,Gray,RWD,92521
2007,Mercedes-Benz,R 350 4MATIC,USED,95500,7904,Automatic,Blue,Gray,AWD,92521
2008,Mercury,Grand Marquis LS,USED,57750,7000,Automatic,Blue,Beige,RWD,92521
2019,Chevrolet,Blazer 3LT,USED,0,33398,Automatic,Gray,Black,AWD,92521
2000,Chrysler,Sebring JXi,USED,90000,1500,Automatic,Red,Black,FWD,92521
2019,BMW,330i,NEW,0,45385,Automatic,Gray,Beige,RWD,92521
2000,Toyota,Celica GT,USED,70117,5994,Manual,Silver,Gray,FWD,92521
2019,BMW,330i,NEW,0,47125,Automatic,Black,Black,RWD,92521
2018,Lexus,LC 500 Base,USED,17212,67667,Automatic,White,Red,RWD,92521
2006,Pontiac,Solstice,USED,31622,6900,Manual,Red,Black,RWD,92521
2016,Lexus,GS 200t,USED,38627,20477,Automatic,White,Beige,RWD,92521
2011,Toyota,Venza Base,USED,94454,7991,Automatic,Red,Gray,FWD,92521
1998,Honda,Prelude,USED,120735,6500,Manual,Black,Black,FWD,92521
2007,Mercedes-Benz,R 350 4MATIC,USED,84690,6995,Automatic,Beige,Beige,AWD,92521
2004,Lincoln,LS,USED,145336,2995,Automatic,Silver,Black,RWD,92521
2020,Hyundai,Palisade SEL,USED,1465,36800,Automatic,Silver,Black,AWD,92521
2019,Kia,K900 Luxury,USED,9831,39995,Automatic,White,Black,AWD,92521
1990,Jeep,Grand Wagoneer 4WD,USED,84484,9990,Automatic,Blue,Beige,4x4/4-wheel drive,92521
2008,Lexus,LS 600h L,USED,0,12995,CVT,Black,Black,AWD,92521
2018,Audi,A4 allroad 2.0T Tech Premium,USED,5100,29900,Automatic,Black,Black,AWD,92521
2007,Porsche,911 Carrera 4S Cabriolet,USED,58675,29388,Automatic,Gray,Red,AWD,92521
2016,Cadillac,CT6 3.6L Premium Luxury,USED,17890,25899,Automatic,White,Black,AWD,92521
2008,smart,ForTwo Passion Cabriolet,USED,85000,3988,Automatic,Orange,Black,RWD,92521
2016,Nissan,Altima 2.5 SR,USED,67072,9399,CVT,White,Gray,FWD,92521
2017,Chevrolet,Malibu 1LT,USED,15474,10990,Automatic,White,Gray,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17131,Automatic,Black,Black,FWD,92521
2016,Honda,HR-V EX,USED,33963,10990,CVT,Red,Black,FWD,92521
2020,Nissan,Versa S,NEW,0,15962,CVT,Silver,Gray,FWD,92521
2017,Cadillac,CT6 3.0L Twin Turbo Platinum,USED,1570,30979,Automatic,Black,Beige,AWD,92521
2015,Scion,FR-S,USED,36840,8995,Automatic,White,Other,RWD,92521
2020,Chevrolet,Spark LS,NEW,0,12287,CVT,White,Black,FWD,92521
2017,Dodge,Grand Caravan SE,USED,34046,12595,Automatic,Gray,Black,FWD,92521
2018,Honda,Fit EX,USED,7853,12769,CVT,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,11995,CVT,Red,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,11995,CVT,Red,Black,FWD,92521
2019,Chevrolet,Spark 2LT,NEW,0,18777,CVT,Blue,Other,FWD,92521
2016,Chevrolet,Malibu 1LT,USED,14799,12779,Automatic,Blue,Black,FWD,92521
2017,GMC,Acadia Denali,USED,7886,23469,Automatic,Black,Black,FWD,92521
2014,Jeep,Patriot Sport,USED,108200,6999,CVT,Black,Black,FWD,92521
2008,Dodge,Caliber SXT,USED,142000,3500,CVT,Black,Beige,FWD,92521
2019,Chevrolet,Cruze LT,USED,0,13995,Automatic,Black,Silver,FWD,92521
2019,Chevrolet,Spark 1LT,NEW,0,15990,CVT,Blue,Black,FWD,92521
2018,Nissan,Altima 2.5 SR,USED,14604,13789,CVT,Black,Blue,FWD,92521
2011,Lotus,Evora 2+2,USED,7607,49950,Manual,Silver,Black,RWD,92521
2012,Chevrolet,Camaro 2LS,USED,122237,6996,Automatic,Red,Other,RWD,92521
2017,Ford,Focus SE,USED,30967,7995,Automatic,Black,Gray,FWD,92521
2008,Toyota,Matrix,USED,103299,4991,Automatic,Red,Gray,FWD,92521
2019,Cadillac,XT4 Sport,USED,1528,25999,Automatic,Silver,Black,FWD,92521
2018,Ford,Transit-150 Base,USED,37261,18899,Automatic,White,Other,RWD,92521
2006,Hummer,H3,USED,148000,5500,Automatic,Black,Black,4x4/4-wheel drive,92521
2008,Toyota,Yaris,USED,73484,4500,Automatic,Silver,Blue,FWD,92521
2015,Lexus,RC F Base,USED,13173,39995,Automatic,White,Other,RWD,92521
2020,Chevrolet,Spark LS,NEW,0,13090,CVT,Blue,Black,FWD,92521
2019,Chevrolet,Spark LS,NEW,0,13695,CVT,White,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,14195,CVT,Black,Black,FWD,92521
2016,Jeep,Patriot Sport,USED,73808,8550,Automatic,Red,Black,4x4/4-wheel drive,92521
2017,Buick,Regal Turbo Sport Touring,USED,41889,11995,Automatic,Red,Black,FWD,92521
2016,Hyundai,Sonata Hybrid SE,USED,16134,12899,Automatic,Silver,Gray,FWD,92521
2013,Audi,allroad 2.0T Prestige quattro,USED,35348,20999,Automatic,Red,Brown,AWD,92521
2004,Ford,Thunderbird Deluxe,USED,39258,10950,Automatic,Red,Black,RWD,92521
2007,Dodge,Nitro SXT,USED,92687,3500,Other / Unknown,Other,Other,4x4/4-wheel drive,92521
2013,Chrysler,200 Limited,USED,74954,5900,Automatic,Gray,Black,FWD,92521
2011,Hyundai,Equus,USED,138000,8875,Automatic,White,Beige,RWD,92521
2013,Mazda,MazdaSpeed3 Touring,USED,49839,12995,Manual,Red,Black,FWD,92521
2005,Cadillac,XLR Base,USED,82271,15999,Automatic,Red,Gray,RWD,92521
2013,Hyundai,Veloster Turbo,USED,32670,7995,Manual,White,Black,FWD,92521
2013,BMW,M6 Base,USED,43586,34699,Automatic,White,Black,RWD,92521
2013,Toyota,FJ Cruiser Base,USED,67854,18000,Automatic,Green,Black,AWD,92521
2000,Cadillac,Eldorado ESC,USED,134570,3500,Automatic,Black,Black,FWD,92521
2008,Saturn,Vue XE,USED,109985,4388,Automatic,Blue,Gray,FWD,92521
2015,Nissan,Sentra SV,USED,75344,4995,CVT,White,Gray,FWD,92521
